,Region,Year,Fertilizer Tonnes Applied
134,Southland,2004,259278.0
135,Southland,2005,260313.0
136,Southland,2006,230978.0
137,Southland,2007,243550.0
138,Southland,2008,252659.0
139,Southland,2009,193696.0
140,Southland,2010,203700.0
141,Southland,2011,253648.0
142,Southland,2012,268118.0
143,Southland,2013,240374.0
144,Southland,2014,268474.0
145,Southland,2015,254667.0
146,Southland,2016,272864.0
147,Southland,2017,274290.0
148,Southland,2018,253133.0
149,Southland,2019,248891.0
150,Southland,2020,262653.0
151,Southland,2021,246605.0
152,Southland,2022,265453.0
153,Southland,2023,194876.0
154,Taranaki,2002,153490.0
155,Taranaki,2003,156376.0
156,Taranaki,2004,170795.0
157,Taranaki,2005,169633.0
158,Taranaki,2006,157555.0
159,Taranaki,2007,148589.0
160,Taranaki,2008,146692.0
161,Taranaki,2009,110683.0
162,Taranaki,2010,129561.0
163,Taranaki,2011,125295.0
164,Taranaki,2012,133882.0
165,Taranaki,2013,124992.0
166,Taranaki,2014,131874.0
167,Taranaki,2015,110223.0
168,Taranaki,2016,106130.0
169,Taranaki,2017,125144.0
170,Taranaki,2018,120238.0
171,Taranaki,2019,128944.0
172,Taranaki,2020,123409.0
173,Taranaki,2021,100503.0
174,Taranaki,2022,100598.0
175,Taranaki,2023,114987.0
176,Tasman,2002,30033.0
177,Tasman,2003,34893.0
178,Tasman,2004,32405.0
179,Tasman,2005,36494.0
180,Tasman,2006,28148.0
181,Tasman,2007,30233.0
182,Tasman,2008,29987.0
183,Tasman,2009,28249.0
184,Tasman,2010,21477.0
185,Tasman,2011,27516.809523809523
186,Tasman,2012,27012.0
187,Tasman,2013,35217.0
188,Tasman,2014,26268.0
189,Tasman,2015,26714.0
190,Tasman,2016,20148.0
191,Tasman,2017,23913.0
192,Tasman,2018,24572.0
193,Tasman,2019,26392.0
194,Tasman,2020,25723.0
195,Tasman,2021,23131.0
196,Tasman,2022,28759.0
197,Tasman,2023,18085.0
198,Waikato,2002,505647.0
199,Waikato,2003,552450.0
200,Waikato,2004,569584.0
201,Waikato,2005,590726.0
202,Waikato,2006,520852.0
203,Waikato,2007,503025.0
204,Waikato,2008,489605.0
205,Waikato,2009,365370.0
206,Waikato,2010,365470.0
207,Waikato,2011,424545.0
208,Waikato,2012,411717.0
209,Waikato,2013,387408.0
210,Waikato,2014,420574.0
211,Waikato,2015,364811.0
212,Waikato,2016,343710.0
213,Waikato,2017,401689.0
214,Waikato,2018,382588.0
215,Waikato,2019,408497.0
216,Waikato,2020,378878.0
217,Waikato,2021,361951.0
